"","Language","Subscription.Type","Subscription.Event.Type","Purchase.Store","Purchase.Amount","Currency","Demo.User","Free.Trial.User","Auto.Renew","Country","User.Type","Lead.Platform","Email.Subscriber","Push.Notifications","Send.Count","Open.Count","Click.Count","Unique.Open.Count","Unique.Click.Count","Dollar_val","sub_len_mnth","cluster"
"27884","ITA","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","Europe","Consumer","App","Yes","Yes",5,2,1,2,1,0,3.28571428571429,2
"35568","ESP","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","Europe","Consumer","App","Yes","Yes",9,9,8,2,1,0,3.28571428571429,2
"36100","ENG","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","Europe","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,3.28571428571429,2
"37674","RUS","Limited","RENEWAL","App",NA,"NULL","No","Yes","Off","US/Canada","Consumer","App","Yes","Yes",15,0,0,0,0,0,13.1428571428571,2
"7324","ARA","Limited","INITIAL_PURCHASE","Web",65.94,"USD","Yes","No","Off","US/Canada","Consumer","App","No","Yes",NA,NA,NA,NA,NA,65.94,6.57142857142857,5
"26781","ESP","Limited","RENEWAL","App",NA,"NULL","No","Yes","Off","Europe","Consumer","App","No","Yes",4,3,0,2,0,0,13.1428571428571,2
"37030","DEU","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",16,0,0,0,0,0,3.21428571428571,2
"6218","VIE","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","US/Canada","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,0,3.28571428571429,5
"13322","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",225,192,2,150,1,199,1027.57142857143,5
"25196","DEU","Limited","INITIAL_PURCHASE","Web",15.83,"GBP","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,20.8956,6.46428571428571,4
"33970","ESP","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",23,9,0,9,0,0,3.28571428571429,2
"17605","ESP","Limited","INITIAL_PURCHASE","Web",35.97,"USD","No","No","Off","Other","Other","Unknown","No","No",6,0,0,0,0,35.97,6.82142857142857,4
"23562","CHI","Lifetime","INITIAL_PURCHASE","Web",0,"GBP","No","No","Off","Europe","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,0,1038.71428571429,1
